               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12806,             0.02252,                   0,           0.0014368,            0.046641,          0.00060924,          0.00013463,             0.11454,              0.0216,                   0,           0.0033266,           0.0033266,             0.07006
                   1,            0.093558,            0.018394,                   0,             0.52258,              0.3874,             0.38315,             0.10889,             0.07394,            0.014596,                   0,            0.006638,            0.006638,            0.040038
                   2,            0.066928,            0.015198,                   0,             0.84399,              0.6176,             0.71627,             0.30012,            0.052899,            0.012373,                   0,           0.0099273,           0.0099273,           0.0099944
                   3,            0.053145,            0.013572,                   0,             0.86817,             0.75531,             0.84167,             0.43701,             0.04258,            0.011038,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.045932,            0.012554,                   0,             0.89947,             0.77859,             0.87483,             0.49846,            0.037715,            0.010122,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.041978,            0.012018,                   0,              0.9148,             0.80334,             0.89927,             0.55332,            0.034202,           0.0095711,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.039681,            0.011606,                   0,             0.89795,             0.81587,             0.90202,              0.5181,            0.035745,           0.0095986,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.037856,            0.011332,                   0,              0.9117,             0.80961,             0.90292,             0.53091,            0.034306,           0.0093663,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.036235,            0.011018,                   0,             0.90141,             0.81465,             0.90697,             0.55487,            0.032839,           0.0091607,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.035323,            0.010819,                   0,             0.90977,             0.82945,             0.91537,              0.5458,            0.033585,            0.008989,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.034357,            0.010765,                   0,             0.90449,             0.86008,             0.93027,             0.58761,            0.029777,           0.0086705,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.033478,             0.01051,                   0,             0.91468,             0.86945,             0.93818,             0.59021,            0.029562,           0.0084449,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.032393,            0.010377,                   0,             0.90575,             0.87644,             0.93884,             0.60285,            0.028608,           0.0084438,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.032453,            0.010296,                   0,             0.92082,             0.86425,             0.93998,             0.61022,            0.027931,           0.0081935,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.031754,            0.010238,                   0,             0.89701,             0.88305,              0.9391,                0.61,            0.027937,           0.0082974,                   0,            0.009571,            0.009571,            0.009571
